  9809     SPring-8 14b2 
 Ni-K_Ni-foil_S  13.11.27 04:47 - 13.11.27 04:48
 Ni-foil                                                                         
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 28.38767 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4486
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       28.25000  22.55000    -0.001270       0.01      4486
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   165.500   111.100
  27.55404  27.54507     0.010      1012      1379
  27.55277  27.54370     0.010      1003      1367
  27.55150  27.54242     0.010      1002      1367
  27.55023  27.54124     0.010      1004      1369
  27.54896  27.54013     0.010      1010      1378
  27.54769  27.53897     0.010      1007      1374
  27.54642  27.53765     0.010       979      1333
  27.54515  27.53623     0.010       938      1281
  27.54388  27.53483     0.010       972      1327
  27.54261  27.53349     0.010       998      1362
  27.54134  27.53223     0.010       967      1321
  27.54007  27.53108     0.010       912      1245
  27.53880  27.52996     0.010       953      1302
  27.53753  27.52878     0.010       995      1360
  27.53626  27.52743     0.010       999      1363
  27.53499  27.52600     0.010       998      1366
  27.53372  27.52460     0.010       998      1363
  27.53245  27.52326     0.010      1001      1369
  27.53118  27.52202     0.010      1011      1381
  27.52991  27.52087     0.010      1007      1375
  27.52864  27.51975     0.010      1009      1381
  27.52737  27.51853     0.010      1012      1380
  27.52610  27.51716     0.010      1005      1377
  27.52483  27.51573     0.010      1012      1386
  27.52356  27.51434     0.010      1009      1382
  27.52229  27.51302     0.010      1009      1381
  27.52102  27.51179     0.010      1004      1376
  27.51975  27.51067     0.010       958      1311
  27.51848  27.50955     0.010       938      1285
  27.51721  27.50831     0.010      1000      1366
  27.51594  27.50692     0.010      1022      1400
  27.51467  27.50550     0.010      1027      1406
  27.51340  27.50413     0.010      1020      1397
  27.51213  27.50282     0.010      1022      1401
  27.51086  27.50161     0.010      1018      1397
  27.50959  27.50049     0.010      1015      1388
  27.50832  27.49936     0.010      1010      1386
  27.50705  27.49807     0.010       992      1361
  27.50578  27.49667     0.010      1005      1378
  27.50451  27.49525     0.010      1031      1414
  27.50324  27.49388     0.010      1029      1411
  27.50197  27.49258     0.010      1026      1410
  27.50070  27.49139     0.010      1025      1408
  27.49943  27.49027     0.010      1025      1406
  27.49816  27.48912     0.010      1029      1413
  27.49689  27.48781     0.010      1031      1416
  27.49562  27.48639     0.010      1029      1414
  27.49435  27.48498     0.010      1027      1412
  27.49308  27.48362     0.010      1026      1408
  27.49181  27.48235     0.010      1027      1413
  27.49054  27.48119     0.010      1031      1417
  27.48927  27.48008     0.010      1029      1414
  27.48800  27.47892     0.010      1031      1419
  27.48673  27.47759     0.010      1033      1419
  27.48546  27.47617     0.010      1030      1418
  27.48419  27.47477     0.010      1032      1419
  27.48292  27.47342     0.010      1028      1413
  27.48165  27.47216     0.010      1035      1422
  27.48038  27.47101     0.010      1030      1421
  27.47911  27.46989     0.010      1032      1422
  27.47784  27.46870     0.010      1037      1428
  27.47657  27.46734     0.010      1032      1423
  27.47530  27.46591     0.010      1034      1424
  27.47403  27.46452     0.010      1035      1424
  27.47276  27.46319     0.010      1030      1422
  27.47149  27.46195     0.010      1037      1431
  27.47022  27.46081     0.010      1036      1424
  27.46895  27.45969     0.010      1036      1428
  27.46768  27.45846     0.010      1040      1436
  27.46641  27.45709     0.010      1033      1424
  27.46514  27.45566     0.010      1037      1431
  27.46387  27.45428     0.010      1036      1431
  27.46260  27.45297     0.010      1035      1429
